"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv006223","Bacteria","Firmicutes","Bacilli","Aneurinibacillales","Aneurinibacillaceae","Aneurinibacillus"
"asv006224","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"asv006225","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"asv006227","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"asv006228","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",NA,NA
"asv006230","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA
"asv006231","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"asv006236","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"asv006237","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Caenimonas"
"asv006247","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"asv006248","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Thermopolyspora"
"asv006249","Bacteria","Myxococcota","Polyangia","Blfdi19",NA,NA
"asv006251","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA
"asv006253","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales",NA,NA
"asv006258","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Ureibacillus"
"asv006259","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"asv006260","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"asv006261","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Mitsuaria"
"asv006262","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"asv006265","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella"
"asv006266","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"asv006267","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"asv006268","Bacteria","Patescibacteria","ABY1","Candidatus Magasanikbacteria",NA,NA
"asv006269","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6",NA
"asv006270","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"asv006271","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"asv006272","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"asv006277","Bacteria","FCPU426",NA,NA,NA,NA
"asv006283","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"asv006284","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"asv006286","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Labraceae","Labrys"
"asv006287","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"asv006288","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"asv006289","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"asv006290","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"asv006292","Bacteria","Chloroflexi","TK10",NA,NA,NA
"asv006293","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA
"asv006294","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea"
"asv006296","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",NA,NA
"asv006297","Bacteria","Proteobacteria","Alphaproteobacteria","Ferrovibrionales","Ferrovibrionaceae","Ferrovibrio"
"asv006298","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"asv006299","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae",NA
"asv006301","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
